Niccolo_Morelli_Left_1.c3d  



Time(s):	Emg_1(μV):
0.6015	1.00708
0.602	10.37292
0.6025	29.10461
0.603	40.78674
0.6035	47.23206
0.604	42.59949
0.6045	38.06763
0.605	30.31311
0.6055	23.56567
0.606	11.48071
0.6065	15.40833
0.607	17.22107
0.6075	16.61682
0.608	21.45081
0.6085	32.42798
0.609	38.36975
0.6095	36.95984
0.61	29.40674
0.6105	22.86072
0.611	25.27771
0.6115	22.6593
0.612	17.32178
0.6125	10.17151
0.613	-3.92761
0.6135	-15.60974
0.614	-28.60107
0.6145	-26.18408
0.615	-18.93311
0.6155	-21.14868
0.616	-17.22107
0.6165	-10.0708
0.617	-12.99133
0.6175	-11.88354
0.618	-6.64673
0.6185	-5.43823
0.619	-11.78284
0.6195	-11.2793
0.62	-10.67505
0.6205	-13.59558
0.621	-7.75452
0.6215	-14.70337
0.622	-7.35168
0.6225	-14.60266
0.623	-15.40833
0.6235	-18.42957
0.624	-19.23523
0.6245	-13.49487
0.625	-7.45239
0.6255	1.40991
0.626	4.53186
0.6265	7.5531
0.627	2.71912
0.6275	-1.71204
0.628	2.01416
0.6285	10.87646
0.629	19.13452
0.6295	25.88196
0.63	32.7301
0.6305	43.80798
0.631	45.62073
0.6315	55.79224
0.632	61.23047
0.6325	59.51843
0.633	58.10852
0.6335	53.07312
0.634	56.29578
0.6345	48.33984
0.635	52.46887
0.6355	51.86462
0.636	49.85046
0.6365	51.05896
0.637	53.37524
0.6375	47.13135
0.638	49.44763
0.6385	43.00232
0.639	38.36975
0.6395	40.2832
0.64	37.66479
0.6405	32.32727
0.641	28.19824
0.6415	21.95435
0.642	28.19824
0.6425	27.19116
0.643	23.8678
0.6435	16.01257
0.644	12.99133
0.6445	18.8324
0.645	14.70337
0.6455	17.92603
0.646	16.61682
0.6465	10.27222
0.647	14.30054
0.6475	14.40125
0.648	6.44531
0.6485	12.89062
0.649	7.75452
0.6495	0.10071
0.65	0.50354
0.6505	-3.02124
0.651	-5.63965
0.6515	-13.797
0.652	-18.53027
0.6525	-16.11328
0.653	-6.14319
0.6535	-0.40283
0.654	14.70337
0.6545	14.50195
0.655	10.0708
0.6555	12.78992
0.656	6.74744
0.6565	8.25806
0.657	11.48071
0.6575	16.01257
0.658	13.59558
0.6585	11.88354
0.659	13.69629
0.6595	16.21399
0.66	11.38
0.6605	22.05505
0.661	21.65222
0.6615	21.75293
0.662	18.12744
0.6625	18.93311
0.663	16.21399
0.6635	17.22107
0.664	23.46497
0.6645	27.39258
0.665	28.19824
0.6655	27.39258
0.666	24.47205
0.6665	29.91028
0.667	27.79541
0.6675	39.37683
0.668	37.06055
0.6685	44.0094
0.669	48.74268
0.6695	57.20215
0.67	58.91418
0.6705	57.60498
0.671	64.25171
0.6715	65.96375
0.672	68.88428
0.6725	68.28003
0.673	71.60339
0.6735	74.72534
0.674	77.34375
0.6745	73.71826
0.675	67.07153
0.6755	61.02905
0.676	54.88586
0.6765	44.91577
0.677	35.54993
0.6775	26.48621
0.678	22.15576
0.6785	16.21399
0.679	10.77576
0.6795	8.35876
0.68	3.12195
0.6805	1.10779
0.681	1.81274
0.6815	-9.26514
0.682	-14.80408
0.6825	-24.87488
0.683	-27.89612
0.6835	-31.52161
0.684	-31.62231
0.6845	-36.15417
0.685	-39.98108
0.6855	-35.14709
0.686	-34.34143
0.6865	-26.48621
0.687	-12.28638
0.6875	-14.40125
0.688	-18.22815
0.6885	-18.12744
0.689	-17.32178
0.6895	-12.28638
0.69	-9.26514
0.6905	-13.797
0.691	-7.25098
0.6915	-7.15027
0.692	-4.83398
0.6925	-2.01416
0.693	3.32336
0.6935	14.19983
0.694	25.37842
0.6945	28.29895
0.695	27.99683
0.6955	33.73718
0.696	30.01099
